group_id,item_id,merchant_name,name,search_term,approved
56,2012,Staples,McCafé Premium Medium Dark Roast - Ground Coffee - 875g,ground coffee,y
57,1945,Walmart,Muskoka Roastery Coffee Co. Howling Wolf Medium Dark Ground Coffee,ground coffee,y
57,1946,Well.ca,Muskoka Roastery Coffee Co. Ground Coffee Howling Wolf Medium Dark,ground coffee,y
57,1957,Walmart,Muskoka Roastery Coffee Co. Loon Call Breakfast Blend Medium Ground Coffee,ground coffee,n
58,1947,Staples,Folgers Black Silk Ground Coffee - 750g,ground coffee,y
58,1948,Bureau en gros,Folgers Black Silk Ground Coffee - 750g,ground coffee,y
59,1975,Walmart,"Maxwell House Decaf Ground Coffee, Medium 631 G",ground coffee,n
59,2006,Staples,Tim Hortons Decaf Ground Coffee - 640g,ground coffee,y
59,2007,Bureau en gros,Tim Hortons Decaf Ground Coffee - 640g,ground coffee,y
59,2008,London Drugs,Tim Hortons Coffee - Decaf - Ground Coffee Size 652g,ground coffee,n
60,1981,Staples,Mother Parkers Original Ground Coffee Tin - 925g,ground coffee,y
60,1982,Bureau en gros,Mother Parkers Original Ground Coffee Tin - 925g,ground coffee,y
61,2001,Walmart,"Tim Hortons Original Blend Ground Coffee, Medium Roast, Ground Coffee Can, Made With 100% Arabica Beans, Smooth & Balanced, Rich Taste, 875g 875 G",ground coffee,y
61,2009,Staples,Tim Hortons Original Blend Ground Coffee - 875g,ground coffee,y
61,2010,Bureau en gros,Tim Hortons Original Blend Ground Coffee - 875g,ground coffee,y
62,2004,London Drugs,Four Sigmatic Adaptogen Medium Roast Ground Coffee with Ashwagandha - Balance Size 340g,ground coffee,y
62,2014,Healthy Planet,Four Sigmatic Organic Adaptogen Ground Coffee With Ashwagandha Balance 340g - Organic and Fair Trade,ground coffee,y
63,2015,Staples,Folgers Classic Roast Pre-Measured Ground Coffee - 39.7g - 42 Pack,ground coffee,y
63,2016,Bureau en gros,Folgers Classic Roast Pre-Measured Ground Coffee - 39.7g - 42 Pack,ground coffee,y
64,2018,Walmart,Gallo Salame Gallo Extra Virgin Olive Oil 1l 1 L,olive oil,n
64,2108,Healthy Planet,Graza Extra Virgin Olive Oil Super Sizzle 1L,olive oil,n
65,2020,London Drugs,Bertolli Extra Virgin Olive Oil - Rich Taste Size 1l,olive oil,y
65,2117,Walmart,"Bertolli Olive Oil, Extra Light Taste - Cold Extracted, 100% Recycled Bottle, Canada’s Most Trusted Olive Oil Brand 1l",olive oil,n
65,2118,Walmart,"Bertolli Extra Virgin Olive Oil, Rich Taste – Cold Extracted, 100% Recycled Bottle, Canada’s Most Trusted Olive Oil Brand 1l",olive oil,y
66,2023,London Drugs,Berio Olive Oil Organic Olive Oil - Extra Virgin Size 500ml,olive oil,n
66,2037,Walmart,Great Value Extra Virgin Olive Oil 500 Ml,olive oil,n
67,2028,Well.ca,Seggiano Organic Extra Virgin Basil Olive Oil,olive oil,n
67,2053,Healthy Planet,Bioitalia Organic Extra Virgin Olive Oil with Basilic 250mL - Organic and Cold Pressed,olive oil,n
68,2050,Walmart,Bella Del Sol Organic Extra Virgin Olive Oil 750ml 750 Ml,olive oil,n
68,2069,Healthy Planet,Silver Leaf Organic Extra Virgin Olive Oil 750mL - Organic,olive oil,n
68,2111,Healthy Planet,La Tourangelle Organic Extra Virgin Olive Oil 750mL - Organic and Non-GMO,olive oil,n
69,2063,Walmart,Terra Delyssa Premium Extra Virgin Olive Oil 1l 1 L,olive oil,y
69,2074,Healthy Planet,Terra Delyssa Extra Virgin Olive Oil 1L - Non-GMO and Kosher,olive oil,y
70,2115,Walmart,Gabriel Sardines In Olive Oil 120,olive oil,n
70,2116,Healthy Planet,Sea Tales Wild Sardines In Extra Virgin Olive Oil 120g - Kosher,olive oil,n
71,2119,Walmart,Great Value Unbleached All Purpose Flour 2.5 Kg,flour,y
71,2144,London Drugs,Rogers All-Purpose Flour - Unbleached Size 2.5kg,flour,y
72,2125,Healthy Planet,Bobs Red Mill All Purpose Baking Flour Gluten Free 623g - Kosher and Non-GMO,flour,y
72,2127,Walmart,Bob's Red Mill Bob’s Red Mill Gluten Free All Purpose Baking Flour 624 G,flour,y
72,2180,Walmart,Bob's Red Mill Gluten Free 1 To 1 Baking Flour 624 G,flour,y
72,2197,Healthy Planet,Bobs Red Mill Gluten Free Whole Grain Oat Flour 623g - Kosher and Vegan,flour,n
72,2198,Healthy Planet,Bobs Red Mill Baking Flour 1 to 1 Gluten Free 624g - Gluten Free and Kosher,flour,y
73,2135,Healthy Planet,Bobs Red Mill All Purpose Baking Flour Gluten Free 1.24kg - Kosher and Non-GMO,flour,y
73,2217,Walmart,Bob's Red Mill Gf 1-1 Baking Flour 1.24kg,flour,y
73,2246,Healthy Planet,Bobs Red Mill Baking Flour 1 To 1 Gluten Free 1.24kg - Gluten Free and Kosher,flour,y
74,2147,Well.ca,Bob's Red Mill Organic Coconut Flour,flour,y
74,2193,Healthy Planet,Bobs Red Mill Organic Coconut Flour 453g - Kosher and Fair Trade,flour,y
75,2178,Walmart,Bob's Red Mill Org Buckwheat Flour 22 Oz,flour,y
75,2194,Healthy Planet,Bobs Red Mill Organic Buckwheat Flour 624g - Organic and Non-GMO,flour,y
76,2212,Walmart,Bob's Red Mill Cassava Flour 567 G,flour,y
76,2230,Healthy Planet,Bobs Red Mill Cassava Flour 567g - Vegan and Plant Based,flour,y
